VARIANT;NUM_THREADS;Value_Pi;CPU_Time;User_Time;
0;1;3.141592;9.939854;9.940751;
1;1;3.141579;10.483926;10.490373;
1;2;3.141592;34.055634;17.032844;
1;4;3.141572;94.313148;23.584211;
1;8;3.141562;268.714046;33.613022;
1;12;3.141555;512.534983;42.765103;
2;1;3.141579;10.270163;10.277180;
2;2;3.141592;10.392055;5.212477;
2;4;3.141556;10.778314;2.707786;
2;8;3.141591;11.541305;1.472184;
2;12;3.141443;12.977027;1.222467;
0;1;3.141573;10.311501;10.312402;
1;1;3.141579;10.794187;10.802162;
1;2;3.141590;35.631179;17.821834;
1;4;3.141571;97.349144;24.343556;
1;8;3.141539;270.390520;33.825074;
1;12;3.141566;530.331007;44.256636;
2;1;3.141579;10.007422;10.012624;
2;2;3.141592;10.257650;5.134113;
2;4;3.141556;10.682131;2.684851;
2;8;3.141591;11.459132;1.444971;
2;12;3.141443;13.634099;1.345347;
0;1;3.141596;10.332049;10.332077;
1;1;3.141579;11.168314;11.172852;
1;2;3.141592;35.856538;17.930696;
1;4;3.141568;100.001418;25.007954;
1;8;3.141551;269.546430;33.720000;
1;12;3.141557;534.511294;44.616660;
2;1;3.141579;10.090385;10.093149;
2;2;3.141592;10.291630;5.159973;
2;4;3.141556;10.518687;2.641087;
2;8;3.141591;10.978614;1.384435;
2;12;3.141443;11.590488;1.041002;
0;1;3.141604;10.092822;10.092867;
1;1;3.141579;10.445285;10.450289;
1;2;3.141590;34.058084;17.035071;
1;4;3.141571;94.950573;23.746150;
1;8;3.141551;269.823029;33.749375;
1;12;3.141553;529.505540;44.183657;
2;1;3.141579;10.133953;10.136574;
2;2;3.141592;10.251107;5.138539;
2;4;3.141556;10.616256;2.675987;
2;8;3.141591;11.015726;1.397884;
2;12;3.141443;11.615384;0.997570;
0;1;3.141588;10.084623;10.084662;
1;1;3.141579;10.587672;10.590409;
1;2;3.141591;35.041228;17.527344;
1;4;3.141560;94.988323;23.752831;
1;8;3.141543;266.267896;33.304325;
1;12;3.141559;538.811253;44.955024;
2;1;3.141579;9.988788;9.992674;
2;2;3.141592;10.243392;5.140381;
2;4;3.141556;10.470288;2.631535;
2;8;3.141591;10.971031;1.402153;
2;12;3.141443;11.349444;0.961264;
0;1;3.141593;9.975119;9.975151;
1;1;3.141579;10.474221;10.480504;
1;2;3.141592;35.538138;17.772208;
1;4;3.141575;95.483533;23.871970;
1;8;3.141574;266.478102;33.333573;
1;12;3.141558;537.028176;44.809663;
2;1;3.141579;10.002501;10.007297;
2;2;3.141592;10.197632;5.106950;
2;4;3.141556;10.512236;2.639368;
2;8;3.141591;10.977679;1.383988;
2;12;3.141443;11.381332;0.964921;
0;1;3.141572;10.032727;10.032849;
1;1;3.141579;10.534198;10.539134;
1;2;3.141591;34.557989;17.288650;
1;4;3.141575;95.536305;23.889387;
1;8;3.141557;266.149382;33.290200;
1;12;3.141558;540.639572;45.098786;
2;1;3.141579;9.961985;9.966384;
2;2;3.141592;10.179377;5.100719;
2;4;3.141556;10.520168;2.647617;
2;8;3.141591;10.956688;1.386175;
2;12;3.141443;11.318316;0.963778;
0;1;3.141588;10.034235;10.034262;
1;1;3.141579;10.468167;10.475570;
1;2;3.141591;34.394033;17.202346;
1;4;3.141565;94.075378;23.523292;
1;8;3.141570;266.321593;33.311802;
1;12;3.141556;540.823381;45.120957;
2;1;3.141579;9.998897;10.001864;
2;2;3.141592;10.172756;5.095868;
2;4;3.141556;10.507443;2.643641;
2;8;3.141591;10.980106;1.384962;
2;12;3.141443;11.368983;0.969422;
0;1;3.141601;10.000880;10.000949;
1;1;3.141579;10.466962;10.474651;
1;2;3.141590;34.835283;17.424677;
1;4;3.141564;94.629392;23.661789;
1;8;3.141562;266.015175;33.279074;
1;12;3.141559;540.209052;45.069665;
2;1;3.141579;10.001812;10.010350;
2;2;3.141592;10.219588;5.122659;
2;4;3.141556;10.523989;2.653935;
2;8;3.141591;10.953770;1.382103;
2;12;3.141443;11.545437;1.018774;
0;1;3.141592;9.987399;9.987476;
1;1;3.141579;10.530642;10.534369;
1;2;3.141592;35.119887;17.567573;
1;4;3.141559;94.625709;23.659148;
1;8;3.141557;265.872536;33.258391;
1;12;3.141559;540.751137;45.115875;
2;1;3.141579;10.028620;10.037055;
2;2;3.141592;10.201227;5.118561;
2;4;3.141556;10.502651;2.640294;
2;8;3.141591;10.975174;1.381459;
2;12;3.141443;11.351282;0.961278;
