Problem Size, Time in s, Correct solution
128, 0.046370, 1
2048, 0.755656, 1
4096, 2.352993, 1
8192, 5.315627, 1
16384, 10.614891, 1
128, 0.046329, 1
256, 0.092907, 1
512, 0.194675, 1
1024, 0.377721, 1
8192, 5.318536, 1
128, 0.046388, 1
512, 0.194725, 1
256, 0.092914, 1
1024, 0.377762, 1
2048, 0.755462, 1
4096, 2.325547, 1
16384, 10.609893, 1
8192, 5.306330, 1
256, 0.092897, 1
128, 0.046289, 1
512, 0.194696, 1
1024, 0.377714, 1
2048, 0.755693, 1
16384, 10.623454, 1
4096, 2.324717, 1
8192, 5.300758, 1
512, 0.194696, 1
1024, 0.377752, 1
2048, 0.754124, 1
4096, 2.351824, 1
16384, 10.628704, 1
8192, 5.315536, 1
128, 0.046306, 1
256, 0.092891, 1
512, 0.194713, 1
1024, 0.377675, 1
2048, 0.755769, 1
4096, 2.351251, 1
16384, 10.643459, 1
8192, 5.311492, 1
128, 0.046356, 1
512, 0.194746, 1
256, 0.092867, 1
1024, 0.377739, 1
2048, 0.755840, 1
4096, 2.424397, 1
16384, 10.622819, 1
8192, 5.306303, 1
256, 0.092917, 1
128, 0.046312, 1
512, 0.194770, 1
1024, 0.377792, 1
2048, 0.755588, 1
4096, 2.351414, 1
16384, 10.615440, 1
8192, 5.310557, 1
256, 0.092904, 1
512, 0.194720, 1
2048, 0.755897, 1
4096, 2.325720, 1
16384, 10.612788, 1
8192, 5.323387, 1
128, 0.046366, 1
256, 0.092972, 1
512, 0.194761, 1
1024, 0.377895, 1
2048, 0.755766, 1
4096, 2.351172, 1
16384, 10.661673, 1
8192, 5.312496, 1
128, 0.046376, 1
256, 0.092891, 1
512, 0.194839, 1
1024, 0.377742, 1
2048, 0.755697, 1
16384, 10.617708, 1
4096, 2.413441, 1
8192, 5.312688, 1
128, 0.046359, 1
256, 0.092951, 1
512, 0.194787, 1
1024, 0.378435, 1
2048, 0.755796, 1
4096, 2.381160, 1
16384, 10.604702, 1
8192, 5.312148, 1
128, 0.046333, 1
256, 0.092904, 1
512, 0.194679, 1
1024, 0.377743, 1
2048, 0.754297, 1
4096, 2.424361, 1
16384, 10.614629, 1
8192, 5.315940, 1
128, 0.046346, 1
256, 0.092855, 1
512, 0.194848, 1
1024, 0.377795, 1
2048, 0.755502, 1
4096, 2.412878, 1
16384, 10.610695, 1
8192, 5.316174, 1
128, 0.046347, 1
256, 0.092943, 1
1024, 0.377744, 1
2048, 0.755545, 1
4096, 2.351452, 1
16384, 10.615635, 1
8192, 5.315764, 1
128, 0.046328, 1
256, 0.092892, 1
512, 0.194822, 1
1024, 0.377922, 1
2048, 0.756164, 1
4096, 2.351681, 1
16384, 10.616113, 1
8192, 5.316516, 1
128, 0.046420, 1
512, 0.194755, 1
256, 0.092906, 1
1024, 0.377785, 1
2048, 0.755698, 1
16384, 10.610367, 1
4096, 2.425702, 1
8192, 5.316319, 1
128, 0.046354, 1
512, 0.194795, 1
256, 0.093250, 1
1024, 0.379257, 1
2048, 0.755553, 1
16384, 10.612819, 1
4096, 2.468317, 1
8192, 5.320662, 1
128, 0.046376, 1
256, 0.092916, 1
512, 0.194702, 1
1024, 0.377866, 1
2048, 0.755808, 1
4096, 2.351188, 1
16384, 10.615599, 1
8192, 5.309482, 1
128, 0.046341, 1
256, 0.092896, 1
512, 0.194734, 1
1024, 0.377806, 1
2048, 0.755766, 1
4096, 2.325283, 1
16384, 10.620470, 1
8192, 5.309477, 1
128, 0.046349, 1
512, 0.194730, 1
1024, 0.377743, 1
2048, 0.756025, 1
256, 0.092822, 1
4096, 2.351444, 1
16384, 10.600226, 1
8192, 5.311793, 1
128, 0.046416, 1
256, 0.092862, 1
512, 0.194733, 1
1024, 0.377740, 1
2048, 0.755627, 1
4096, 2.351199, 1
16384, 10.622234, 1
8192, 5.315940, 1
16384, 10.620465, 1
