ProgramName; CPU Time; Wall Time; Return Value; OMP_NUM_THREADS; VARIANT
./test; 0.000002 s; 0.000001 s; 100; 1; 0
./test; 0.000002 s; 0.000001 s; 100; 1; 1
./test; 0.000002 s; 0.000001 s; 100; 1; 2
./test; 0.000001 s; 0.000000 s; 100; 2; 0
./test; 0.000001 s; 0.000001 s; 100; 2; 1
./test; 0.000002 s; 0.000001 s; 100; 2; 2
./test; 0.000002 s; 0.000001 s; 100; 4; 0
./test; 0.000002 s; 0.000001 s; 100; 4; 1
./test; 0.000002 s; 0.000001 s; 100; 4; 2
./test; 0.000002 s; 0.000001 s; 100; 8; 0
./test; 0.000001 s; 0.000001 s; 100; 8; 1
./test; 0.000001 s; 0.000000 s; 100; 8; 2
